Entrepot,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20,Client 21,Client 22,Client 23,Client 24,Client 25,Client 26,Client 27,Client 28,Client 29,Client 30,Client 31
Entrepot 1,2,4,5,4,3,2,2,3,3,3,1,4,4,1,2,2,5,5,4,3,4,2,2,3,3,1,5,1,3,3,1
Entrepot 2,3,1,2,4,5,5,4,4,4,1,5,2,2,1,3,1,1,4,3,3,3,2,2,1,5,4,2,4,3,3,1
Entrepot 3,1,4,5,3,2,5,1,3,5,2,1,2,4,4,5,5,1,1,5,2,5,4,5,3,5,5,2,1,3,3,3
Entrepot 4,5,2,3,1,3,2,3,3,2,3,1,3,2,2,1,3,2,2,1,5,3,3,2,1,3,3,5,3,2,2,3
Entrepot 5,2,5,3,3,4,3,4,4,4,3,3,2,1,2,1,1,1,5,3,5,2,5,1,1,3,5,1,3,1,1,1
Entrepot 6,5,4,3,2,5,2,2,4,3,1,4,3,3,5,4,5,1,5,2,3,2,4,4,1,4,3,3,4,1,1,5
Entrepot 7,5,4,4,1,2,4,5,5,5,3,5,1,1,2,3,2,4,1,5,1,3,3,2,4,2,4,4,5,3,4,2
Entrepot 8,3,1,1,2,1,1,1,1,2,3,3,3,2,4,1,4,4,4,3,4,4,5,5,5,3,3,2,3,4,1,3
Entrepot 9,2,3,3,3,2,3,2,5,1,5,4,4,5,4,3,2,1,4,4,4,5,4,4,2,1,2,4,5,2,2,5
Entrepot 10,5,1,3,4,2,2,3,1,1,1,3,3,5,1,4,1,1,1,1,2,4,4,3,4,4,1,1,1,5,4,1
Entrepot 11,4,4,2,4,4,2,1,1,1,5,2,2,5,5,3,4,2,2,4,3,5,1,2,1,4,1,4,4,4,4,5
Entrepot 12,5,4,4,5,2,1,5,3,4,4,4,2,5,2,5,3,1,1,5,1,2,5,3,3,2,2,3,3,4,4,3
Entrepot 13,4,4,3,3,4,2,4,5,1,1,4,1,5,3,5,4,2,1,1,2,2,1,5,3,1,1,5,4,4,2,3
Entrepot 14,10,5,3,4,2,3,2,4,3,2,3,2,2,4,1,1,2,4,5,5,4,5,4,4,2,4,1,5,5,4,5
Entrepot 15,4,5,3,4,3,2,3,5,3,2,4,5,4,1,2,2,2,4,5,4,4,5,1,3,3,2,1,2,1,5,2
Entrepot 16,2,1,1,2,1,2,5,1,5,4,3,3,3,5,2,4,4,4,5,1,2,4,2,1,3,4,5,4,1,1,4
Entrepot 17,4,2,4,3,3,2,2,5,1,5,3,2,1,3,3,3,2,1,5,1,3,4,4,2,2,1,4,1,5,5,5
Entrepot 18,2,5,5,2,3,3,5,1,4,4,2,5,1,5,2,1,2,4,1,1,3,1,4,3,4,2,2,3,2,3,1
Entrepot 19,5,5,2,4,2,3,1,4,5,1,5,4,5,4,2,1,4,4,1,3,3,2,4,2,5,3,5,3,4,4,1
Entrepot 20,4,2,3,3,5,1,1,1,3,5,4,4,4,1,2,5,5,2,3,2,3,5,1,5,2,5,3,2,3,2,3
Max_Delai_Client,15,2,1,1,5,5,1,5,4,3,3,4,1,2,4,2,3,5,1,4,4,5,5,1,1,2,2,2,1,3,4
Entrepot 21,5,1,1,2,4,5,1,5,4,4,3,4,3,5,2,4,1,4,2,4,2,1,1,2,1,3,2,3,5,4,4
